country,rank,area,landAreaKm,netChange,growthRate,worldPercentage,density,place,pop2000,pop2010,pop2022,pop2023,pop2030,pop2050
India,1,3287590.0,2973190.0,0.4184,0.0081,0.1785,480.5033,356,1059633675,1240613620,1417173173,1428627663,1514994080,1670490596
China,2,9706961.0,9424702.9,-0.0113,-0.0002,0.1781,151.2696,156,1264099069,1348191368,1425887337,1425671352,1415605906,1312636325
United States,3,9372610.0,9147420.0,0.0581,0.005,0.0425,37.1686,840,282398554,311182845,338289857,339996563,352162301,375391963
Indonesia,4,1904569.0,1877519.0,0.0727,0.0074,0.0347,147.8196,360,214072421,244016173,275501339,277534122,292150100,317225213
Pakistan,5,881912.0,770880.0,0.1495,0.0198,0.03,311.9625,586,154369924,194454498,235824862,240485658,274029836,367808468
Nigeria,6,923768.0,910770.0,0.168,0.0241,0.028,245.7312,566,122851984,160952853,218541212,223804632,262580426,377459883
Brazil,7,8515767.0,8358140.0,0.0393,0.0052,0.027,25.8936,76,175873720,196353492,215313498,216422446,223908968,230885725
Bangladesh,8,147570.0,130170.0,0.0557,0.0103,0.0216,1328.6803,50,129193327,148391139,171186372,172954319,184424144,203904900
Russia,9,17098242.0,16376870.0,-0.0158,-0.0019,0.018,8.82,643,146844839,143242599,144713314,144444359,141432741,133133035
Mexico,10,1964375.0,1943950.0,0.0299,0.0075,0.016,66.0797,484,97873442,112532401,127504125,128455567,134534107,143772364
Ethiopia,11,1104300.0,1128571.3,0.1008,0.0255,0.0158,112.1126,231,67031867,89237791,123379924,126527060,149296378,214812309
Japan,12,377930.0,364500.0,-0.0209,-0.0053,0.0154,338.2566,392,126803861,128105431,123951692,123294513,118514802,103784357
Philippines,13,342353.0,298170.0,0.0561,0.0154,0.0147,393.5251,608,77958223,94636700,115559009,117337368,129453321,157891622
Egypt,14,1002450.0,995450.0,0.0551,0.0156,0.0141,113.2318,818,71371371,87252413,110990103,112716598,125151725,160339889
DR Congo,15,2344858.0,2267050.0,0.105,0.0329,0.0128,45.1083,180,48616317,66391257,99010212,102262808,127582053,217494003
Vietnam,16,331212.0,313429.0,0.0208,0.0068,0.0123,315.411,704,79001142,87411012,98186856,98858950,102699905,107012939
Iran,17,1648195.0,1622500.0,0.0208,0.007,0.0111,54.9601,364,65544383,75373855,88550570,89172767,92921017,99007204
Turkey,18,783562.0,783562.0,0.0143,0.0056,0.0107,109.5206,792,64113547,73195345,85341241,85816199,88879698,95829258
Germany,19,357114.0,349390.0,-0.0012,-0.0009,0.0104,238.4002,276,81551677,81325090,83369843,83294633,82762675,78932228
Thailand,20,513120.0,510890.0,0.003,0.0015,0.009,140.5416,764,63066603,68270489,71697030,71801279,72060018,67880083
United Kingdom,21,242900.0,241930.0,0.0072,0.0034,0.0085,279.9851,826,58850043,62760039,67508936,67736802,69175770,71684966
Tanzania,22,945087.0,885800.0,0.0622,0.0296,0.0084,76.1324,834,34463704,45110527,65497748,67438106,81885304,129931520
France,23,551695.0,547557.0,0.004,0.002,0.0081,118.2646,250,58665453,62444567,64626628,64756584,65543452,65827072
South Africa,24,1221037.0,1213090.0,0.0173,0.0087,0.0075,49.8022,710,46813266,51784921,59893885,60414495,64659278,73529753
Italy,25,301336.0,295717.0,-0.0054,-0.0028,0.0074,199.078,380,56966397,59822450,59037474,58870762,57544258,52250484
Kenya,26,580367.0,569140.0,0.0346,0.0199,0.0069,96.8138,404,30851606,41517895,54027487,55100586,63103942,85211739
Myanmar,27,676578.0,652670.0,0.0125,0.0074,0.0068,83.6227,104,45538332,49390988,54179306,54577997,56987625,59929399
Colombia,28,1141748.0,1109500.0,0.008,0.0041,0.0065,46.9447,170,39215135,44816108,51874024,52085168,54129764,56987651
South Korea,29,100210.0,97600.0,-0.0012,-0.0006,0.0065,530.5744,410,46788591,48813042,51815810,51784059,51290214,45770874
Uganda,30,241550.0,200520.0,0.0423,0.0282,0.0061,242.2817,800,24020697,32341728,47249585,48582334,58380262,87622081
Sudan,31,1886068.0,1868000.0,0.0394,0.0263,0.006,25.7543,729,26298773,33739933,46874204,48109006,56997099,84494269
Spain,32,505992.0,499556.6,-0.0014,-0.0008,0.0059,95.1236,724,40741651,46572772,47558630,47519628,47076573,44219565
Argentina,33,2780400.0,2736690.0,0.0091,0.0058,0.0057,16.726,32,37070774,41100123,45510318,45773884,47678560,51621175
